freq;unit;vehicle;geo\TIME_PERIOD,1999 ,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 
A;NR;ANI_RD;BE,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0 ,: ,: ,0 ,1 ,1 ,0 ,0 ,0 
A;NR;ANI_RD;BG,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,9 ,7 ,12 ,5 ,3 ,5 ,6 ,5 ,6 
A;NR;ANI_RD;DK,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,0 
A;NR;ANI_RD;EE,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0 
A;NR;ANI_RD;HR,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0 ,: ,0 
A;NR;ANI_RD;HU,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,3 ,6 ,5 ,0 ,2 ,2 ,3 ,1 ,1 
A;NR;ANI_RD;IS,: ,: ,: ,: ,: ,: ,: ,1 ,: ,: ,: ,: ,: ,: ,0 ,: ,: ,: ,0 ,: 
A;NR;ANI_RD;IT,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,1 ,3 ,2 ,0 ,1 ,2 ,1 ,1 ,0 
A;NR;ANI_RD;LV,: ,: ,: ,: ,: ,1 ,: ,: ,: ,: ,0 ,2 ,: ,: ,0 ,1 ,: ,: ,: ,: 
A;NR;ANI_RD;MT,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0 ,0 ,: ,: 
A;NR;ANI_RD;NO,: ,: ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,: 
A;NR;ANI_RD;PT,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,1 ,3 ,1 ,1 ,1 ,5 ,0 ,2 ,: 
A;NR;ANI_RD;UK,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,3 ,4 ,4 ,2 ,1 ,0 ,0 ,0 ,3 
